,4828
last,2
值得一提的是,3
这厮,2
露出,5
重复使用,1
户外,4
插,7
广告,8
反而,9
同租,1
观瞻,1
绝大多数,4
那个,88
布草,2
bell,2
君临天下,4
旧都,1
哈尔滨,6
菜馆,1
华美达,6
状况,16
晒台,1
套票,4
请客,2
受苦,2
日住,5
回到,22
横,1
圬,1
看不像,2
在乎,1
交还,1
油黑,2
天开,1
居家,1
大型,5
明明白白,2
品,2
窗和墙,1
恶梦,4
应对,3
正巧,4
清寺店,1
酒店家具,1
拨号,4
离晋,1
38,3
寄望,1
题库,2
绝,1
出租屋,1
塞,1
比差,1
有意思,4
那么,67
总算,17
遇到困难,2
标房,32
叉路口,1
平价,1
经济效益,1
严格把关,2
考究,1
阴森,2
烂远达,1
接站,3
随身带,4
高音,1
31,11
餐牌,2
何况,3
30,99
厄,1
达标,1
妈,3
狭小,8
骨青,1
櫃,2
那人,1
破舊,2
水下,1
布菜,2
奔来,1
涂料,1
五次,1
元涨,1
怕怕,2
一群,5
打马虎眼,1
管道,9
那些,44
逃出,3
跟本,2
力度,2
钻机,1
難道,2
阳面,1
门都关,1
边答,1
元,406
第三次,11
预先,3
吵得,20
安排,73
周围,51
只想,1
使劲儿,1
入房,2
当班,8
翻白眼,3
太阳神,1
小钱,2
飞,3
大块,4
随后,6
有偿,1
种种,2
大坝,1
没告,1
对流,1
下屋,1
言语,5
山,4
到此一游,2
剩下,6
来宾,1
在于,3
串门,1
挫,1
南油,4
水乡,2
洁净,3
扎,1
要求,225
多拉,1
收一正天,1
撑死,1
房间,2282
北苑路,1
弧度,2
我代,1
午觉,1
房门,27
鼓捣,2
我们,1054
看好,3
交通局,2
打印机,1
唯独,5
让,416
幅度,1
听,43
手试,2
元游,1
等级,2
安全意识,2
336,1
爬楼梯,2
阴毛,1
岱宗,1
笑容,15
蛋,1
我人,1
一小部分,1
看不懂,1
大哥,2
攜程,3
原来如此,2
OK,13
惊讶,3
ctrip,35
感觉不好,14
房間,45
果冻,1
锅炉房,6
同等,9
多押,2
一米,2
池子,2
上极噪,1
开关门,1
这儿,12
价低,1
一类,3
承担,7
我于,3
吓了一跳,3
多才,2
旅游团,4
您好,26
冷若冰霜,2
体育,1
皮球,5
┍,1
没地,1
樓,7
点好,1
福顺,1
梦游,1
写成,1
巨大,13
怎样,14
巨多,2
漏风,5
水塘,2
关了灯,1
生存,5
呕吐,2
驾到,1
汇报,1
蟑螂,20
洁具,6
BS,1
大同,2
上传,1
貼,2
大吉,2
昏昏沉沉,2
be,2
原话,3
索性,6
加大,1
天不开,1
挂牌,21
且说,1
压在,2
王府井大街,1
能給,1
未整理,1
协程,12
太老旧,1
扣,5
毫无,5
露台,1
交谈,4
杀猪,2
另行,1
考芦,1
没坏,1
污蔑,1
七点,7
点多,55
空气,23
这决,2
厚厚的,2
十来种,1
短讯,3
时段,2
需,10
格調,1
该车,1
当然,41
南湖,1
翻新,2
红色,6
无人,12
听不懂,4
住九楼,1
撬出来,1
印迹,1
茶收,1
换下来,1
该家,1
肥,1
推迟,2
上人,1
七斗,3
不能平静,1
IO51,1
洗起来,2
挺不错,3
团餐,1
头,19
所致,2
:,92
大喊,4
经过训练,2
着,207
火车头,1
唐山,1
墙壁,16
用户,13
房钱,8
差错,2
否认,2
中餐,12
做,145
摊开,1
半夜三更,5
合资,1
洗慢,1
优质服务,2
外交,2
书,4
抽,4
无从,3
累计,3
寄放,2
新良,1
凄惨,1
壁,1
广场,8
整体而言,1
看不清,1
意,2
天壤之别,4
举动,3
這些,2
居多,3
则,6
耽误,16
尝,1
細小,1
无表情,8
了不起,1
翘个,1
节约,6
应急,1
吃海鲜,2
修修,2
950,1
指导,2
咖啡厅,7
还准,1
躁声,1
佛珠,6
上个,1
男男女女,2
很潮,2
盐城,2
我住,8
碰巧,1
黑压压,1
五楼,5
具,3
细,1
卡用,1
测门,1
指定,3
拎,6
笔误,1
产业园,1
冲着,1
中國,1
交费,3
变,7
扣钱,2
有时候,7
想必,1
五百多,1
奢求,1
出土文物,1
我会,10
一个拖拉机,1
国际,36
摆动,1
霸道,2
憤怒,1
西,1
平安无事,2
禁,1
开等会,1
多一点点,1
各有,1
天到,1
乱七八糟,7
放水,7
肥肠,1
乾淨,1
鼓浪,4
枕,4
转门,1
混到,1
：,776
满墙,1
述说,2
未,41
电脑自动,3
誉兴,1
维修,17
巨型,1
雖然,4
实事求是,1
话务员,2
团队,8
希望,153
那张,3
必,1
一片,9
似地,2
上能,1
富豪,1
摊倒,1
弥漫着,3
小家子气,2
鸭绒被,1
平移,1
一气呵成,1
第四,8
油迹,3
居民区,8
内用,1
浴霸,2
早,28
这张,2
蔓延到,1
穿梭,1
不妨,1
下水道,11
可钱,1
改到,1
区块,4
身临其境,2
要房,2
吃惊,3
乱哄哄,5
口香糖,1
漏雨,2
楼上住户,1
栋,2
坚持,21
出国,2
搓,4
开心果,2
背板,1
粘,3
逛,8
五星,54
喝茶,1
摇,2
超值,2
中雨,2
台面,3
绿色通道,1
1408,2
收些,1
年代,18
住户,1
美林,2
大婶,2
向阳,1
判断,4
加在,2
宽容度,1
空房,5
再害,1
内疚,2
烫痕,1
轴流,1
费劲,3
没好,2
够得着,1
细小,2
远处,2
医学知识,1
倒像,1
令,13
接着,12
共,11
费力,1
区域,8
赔上,1
直,1
武夷茶,1
拼,3
再定,1
大家,151
可想而知,9
338,2
锈,2
领导层,2
330,4
归类,2
打个,11
途中,1
最气,2
實在,8
糕点,2
王府井,2
要换,3
反省,2
及时,18
一人要,1
刚一进,1
曲折,1
两手,1
点回,6
东涌线,1
兼职,1
打一,2
暗示,1
说辞,4
部打,2
中央大街,3
接待工作,1
遥控,5
虽小,1
结余,1
用水,4
网口,1
处罚,4
之类,16
受害者,1
行政,50
狝,1
压缩机,1
本该,1
滥,1
蜘蛛,3
this,2
近才,1
国内长途,1
借壳,1
失礼,1
音乐声,1
天半,1
桶,1
网友,17
打人,2
店内,1
骂,8
肮脏,12
富凯,1
回应,3
漏,4
成订,1
关不紧,2
自助餐,8
山鸡,1
广大,4
貌似,1
初,2
改说,2
招牌,11
界,1
包公,1
直白,1
坏事,1
不道德,1
一般般,13
機已,1
学生,3
小食,1
很棒,2
词是,2
多一晚,3
倒退,1
十一点半,2
帮帮忙,1
尾随,2
说车,1
人,513
關在,2
地道,3
五六米,1
升,7
谈话,1
天台,1
住,1067
网卡,1
大学,2
Americas,1
拒,1
只注,2
遇见,4
交茶,1
以下几点,2
杭州,6
白嫩,1
中振和华庭,1
病毒,1
饮用,1
老鼠,14
台阶,2
飘散,1
价格昂贵,1
一班,5
小额,1
并且,51
沾,1
不已,1
好得多,1
长途车,1
經理,2
丝毫,3
进武岳,1
TAXI,6
道里区,1
回头客,2
根据,11
马虎,3
自然,8
一环,1
泰和,1
超乎寻常,1
冲突,2
支付,10
力,1
旅客,9
白天,28
呆住,2
龙岩,1
猪食,1
跟普,1
充斥,1
想到,8
然而,7
没完,5
到,811
劲,2
吴,1
见个,1
没定,2
无数遍,1
雪白,2
妓院,1
效果,44
大声,10
請,6
一个半,3
桌,1
冒汗,3
摔,2
没对,1
主动,36
触目惊心,2
短裤,1
词汇,1
二十块,2
拆迁,1
渔村,1
煲,3
不经意,2
邀请,4
迹,1
极为,3
松,1
振振有词,2
汇源,1
小时候,1
裕隆,1
不起眼,2
画面,3
敢收,1
应含,1
接电,1
说会,3
金玉其外,1
disco,1
刺耳,3
燃气,1
牛柳,2
他订,1
盒子,8
',17
斩钉截铁,1
Very,1
改装,3
映像,4
冲,11
电,7
大堂,172
斜坡,2
十二块,1
难吃,22
武昌,1
合肥,5
燕都,5
信用卡,74
假,2
症状,2
林立,1
火柴,2
喋喋不休,1
说谎,2
所谓,66
失窃,3
懒,5
損失,3
全说,1
防盗,1
文明,2
牛,5
不熟,1
忽冷忽热,4
想不通,3
争风,1
光临指导,1
could,2
WIFI,2
宗旨,7
仓库,1
有则改之,2
／,3
速溶,3
爬楼,1
传染性,1
限时,1
欲裂,1
对不起,22
分,73
450,6
阴暗,8
这层,2
住宿费,1
怪不得,2
456,2
极低,7
左传,2
细心,2
撕,4
呆久,1
中等,1
得逞,2
和善,2
脸一拉说,2
拒绝,22
欢迎,11
搪,2
亲,1
典故,1
花瓣,1
自顾自,4
伸,1
奇怪,34
第三间,1
大妈,5
行动不便,1
粉尘,1
設备,1
竞争力,5
为啥,1
划伤,2
凶地,1
水单,2
退还给,1
给,687
升降,1
第三方,1
陈设,2
赤,1
大姐,2
服务费,16
梁姓,1
未见,2
苛刻,1
变相,3
床灯,1
巨响,3
天元,1
能,240
翻遍,1
晾,3
光脚,2
零时,1
房顶,2
朝街,1
巨吵,1
一千多,2
承包人,1
吃了饭,1
补偿性,1
信价,1
信任,10
平面,2
吸收,2
內部,1
一个多月,2
打車,1
说起,1
观潮,1
改观,2
白墙,1
大多,6
爱,13
中间,14
行不行,2
北关,1
量少,2
标注,2
边用,1
两块钱,1
送足疗,1
积了,2
周总理,1
轻松,5
快捷键,1
放心使用,1
visa,2
怪怪,1
离江近,1
忘,27
翘起来,2
黄瓜,2
买不起,1
磨损,1
苦,5
足足,14
敷衍,3
目前为止,2
如家能,1
飘来,1
连碰,2
冲过,1
呵,2
表示满意,1
补多,1
无话可说,7
住宅,8
身着,1
培训,31
鼓楼,2
这群领,1
带门卡,1
店名,1
笑话,1
前身,1
大度,3
忘掉,1
克制,2
值夜班,2
贵重物品,4
一个团,1
言之有据,1
旅游局,7
本身,14
should,1
大庆,2
超长,1
露,3
机会,22
卡给,2
详细情况,1
烟往,1
托收,1
露天,5
hope,2
下定决心,1
踩死,1
硬梆梆,1
紫薇,2
后续,2
凉,9
弹簧,9
一墙之隔,1
哥儿,2
有名无实,1
扔,17
森桦苑,3
打哆嗦,1
发现自己,5
恢复原,2
淡,1
标有,3
讲价,3
后经,1
h,1
罪受,1
要是,17
可怜,30
价,12
操作,15
还贵,4
一百,2
大廈,2
有余,2
公里,9
还锁,1
称赞,1
二,15
全身,5
有位,3
遵守,2
旅店,3
点半,17
您,306
Ｍ,1
回家,13
晕倒,10
由,14
获取,1
疲倦,2
能省,1
太吵,18
紫菜,1
email,1
不太会,2
奢望,1
所言,2
没擦过,2
开不出,1
头晕,3
一盏,2
试想,4
张灵芳,1
一盒,1
幾天,2
酷酷,1
近日,1
天价,1
塞住,1
看去,1
免为其难,1
一盘,1
就够,5
380,5
档,2
恐怖,33
包含,5
丢弃,2
或是,4
保护,1
大幅,2
不然,18
这样,290
一直,105
地去,1
发觉,7
白天黑夜,2
高帮鞋,1
多样,1
姓陆,1
南方,1
这家,223
分清,1
大不太,2
打麻将,3
佛祖,2
着装,1
一看,34
Stayed,2
混在,1
怕热,2
公道,4
得,175
前边,1
莫非,1
原,6
若干,2
结果表明,1
要来,2
看得,2
亮点,4
财富,2
区分,1
看前,1
中西亚,2
防,2
所说,7
云南,1
拖把,2
一眼,7
>,10
鸣叫,1
明早,1
有些,57
再带,1
仍,12
民宿,1
招商银行,1
有事,6
看到,112
保持,7
别以为,2
发表,3
婚,2
推薦,2
泡,5
广州,17
有人,40
应变,2
地铺,1
铁轨,3
擅自,5
难受,13
直犯,1
嘱咐,2
民宅,2
两口子,1
镜灯,1
说订,1
呕心,1
我花,6
热切,1
一滩,1
加剧,2
涂涂,2
莲蓬,1
股怪,1
差不多,51
诬赖,2
凶凶,2
洗澡时,8
前前后后,3
可真别,1
涠,1
随之而来,2
点前,17
吹风,3
报失,1
简装,1
单再点,2
指出,2
例行,1
没少,1
响应,3
改进,26
挑衅,3
根,1
收费员,4
周庄,1
胜利,2
所謂,1
吹風,1
桑塔纳,2
均,21
行李架,2
不难想象,1
罗,4
新装,3
点到,8
4.0,2
华美,2
三星级,49
糖酒会,1
三十度,1
痰,2
有个,38
恢复,1
工商局,1
遗憾,11
笑容可掬,2
有米,1
总金额,1
358,3
饮料瓶,1
节省,1
众,1
做事,5
中级,1
排档,1
自由,3
铺满,1
军阀,1
型号,1
回复,32
摔门,1
６,2
太令,3
各地,1
噼里啪啦,2
扔进,1
没人管,4
扔出去,1
回头,1
对讲机,3
近期,2
混合,1
晚点,7
没得,4
天后,4
液體,1
名目,1
根本,173
化妆,1
定下,3
湖里,2
裏,2
拿走,9
中途,4
近来,2
豆包,1
出示,6
desk,1
南国,2
描述,11
这天,3
政府,15
盤緊,2
吵吵,1
干线,2
258,2
这大,1
疼,2
金元,1
一提,1
冷笑,1
十瓶,1
天呀,2
趁,1
聋子,3
明摆着,2
再差,2
太乱,4
附着,2
12pm,1
排风扇,1
地震,2
备品,2
恩惠,1
进屋,5
看出,1
中转站,2
即将,4
速,1
4800,1
没开,2
供选择,4
出言不逊,1
首日,1
里检,1
加急,1
用具,8
假人,1
毛衣,3
出租,12
人去楼空,1
大小,16
他边,1
定价,1
倒霉,8
奇慢,3
弄错,1
老太,1
破败,1
太为,1
前灯,1
敲门声,1
音译,2
虚假,4
瓜葛,1
菲薄,1
因要,2
淋浴器,2
试拨,4
大风,1
糊弄,2
机顶盒,3
洗头,1
桃源路,2
理侧,1
调来调去,1
自,7
地面,9
蓬头,1
做个,2
一瓶,18
表示,49
牛扒,2
考證,2
饼干,3
聽到,1
错错,1
预定,219
长级,1
像家,2
空旷,3
赔偿损失,1
口说,1
美态,2
陈述,1
怪,6
拖到,2
发言,1
而且,375
后查,1
连挡,1
状况不佳,1
争执,5
MINI,1
喊,2
四颗,2
没完没了,1
可问,1
选此家,1
南昌,2
楼为,3
酒店设备,4
站,45
来电,4
镜,1
说要,2
满,14
说句,1
为先,1
一番,7
快,50
一无是处,2
烧香,1
山庄,5
右,4
睡醒,2
等待时间,1
要收,14
商贩,1
旅高快,1
楼上,25
楼下,32
要放,2
屡屡,1
往,12
wifi,1
一路上,3
五百元,1
会议室,2
十公分,1
17900,2
不言自明,1
意韵,2
ing,1
考试,2
疑问,6
发誓,4
矢口否认,1
反正,36
推,8
投诉无门,1
選擇,7
本质,1
二十元,1
太低,13
分太高,2
开始,113
龙头,24
准确,3
轻易,1
受理,1
赶工期,1
难关,2
銀行,1
鄙视,7
电话机,4
没干,1
U,1
霉暗,2
抱怨,9
海滨,2
天一亮,1
記得,2
正,5
老一代,2
节目,3
第六,1
要断,1
多次,39
铁路,3
加倍,1
名气,2
470,1
超难,2
难免,4
起,16
包场,1
478,1
争抢,2
腿,5
眼光,1
斑驳,8
挂,45
总价,2
玩忽职守,1
再换,7
少见多怪,2
不问,6
各异,1
随,2
坚定,1
连小,1
Holiday,1
一家人,7
造,2
手摸,2
这条,1
人较,1
吹散,1
三亚湾,2
营业,9
手脚,2
蟠龙,1
出门在外,2
提字,2
太烂,11
水管,12
公安部门,3
残余物,2
毫升,1
信用,5
各方,1
品牌,21
房奇,1
院,2
限度,2
沙发,14
更近,2
凡,2
一点,145
干饭,1
奇型,2
车水马龙,1
修没修,1
摆放,3
粉末,2
上积,1
作罢,5
298,13
其,43
废除,2
回来,68
相隔,3
就近,1
坐地铁,1
晚上,387
尽能,1
沈,1
事物,2
过往,2
烟道,1
队伍,2
动弹,3
烂尾楼,3
厦门,11
意味着,2
不长,3
喷出,1
无礼,2
無,4
宿州,1
脏兮兮,9
遇,2
佳丽,1
管理系统,1
哎呀,2
凯悦,5
+,5
极了,3
名单,2
挖掘机,2
总之,92
壁纸,3
忙音,2
晏艳春,1
香水,1
鸿,2
没菜,2
再接,1
多名,1
吹毛求疵,2
贵得,1
浔阳,1
嗎,3
寒,1
鸡皮疙瘩,1
算了算,1
也,1448
手臂,1
边上,18
米长,1
0.39,1
恍然大悟,4
收益,1
进房,10
度假村,7
礼遇,1
生硬,11
不错,214
差额,2
那種,2
游趣,2
赶快,7
最后,153
一分钟,10
踏脚,2
元多,1
底,1
池水,1
放满,1
点滴,1
一分钱,4
广东省,1
走走,4
Star,1
吵死,6
要学,1
产生,10
千张,1
男友,12
情愿,16
单身在外,2
认帐,2
火花,2
穿越,1
邻居,1
实景,1
星级,121
扬长,1
色差,2
还单,2
懒觉,4
侦破,1
胶带,1
我离,2
没想,2
绕,7
半步,1
牆上,2
晚,52
贴心,2
迟,1
熱水,2
EVEN,2
打劫,2
胶布,1
word,1
这是,66
1996,1
work,2
场所,4
轴,1
刻薄,1
百岁,2
小企缸,2
老,67
明天,13
欧洲,2
素以,2
555,1
那麼,1
550,4
沒人,2
主楼,9
接电话,13
小红点,3
大塘,1
worse,1
总体,58
周折,1
尽早,1
Ctrip,8
拆腾,1
很贵,1
游泳池,17
深感不安,1
著称,3
吹,6
用品,28
走路,19
吸引,8
乌鲁木齐,2
订是,1
很赞,1
歇,2
随性,1
after,3
哎,14
Will,2
兄弟,5
平常,2
百思不得其解,1
咚咚,2
半左右,2
很赃,3
说来说去,2
承认错误,1
打赤膊,2
时要,7
九牛二虎之力,1
问讯,2
总会,1
......,35
水池子,1
扭,2
面目可憎,1
靠近,24
时间段,1
两颗,1
北楼,2
炒得,1
内住,2
虽然,107
捂着,2
office,2
再,312
「,4
替换,1
选他,2
同伴,4
没剩,1
称呼,2
说不定,1
扑克,1
赠券,2
皮笑肉不笑,1
伞,4
恶心,44
实属,1
衛浴,1
认识,15
四五次,2
回收,2
奇大,1
印象,43
水,111
赶早,1
采取,3
them,2
吊,1
旅,1
么,22
认认,1
新时空,1
用君悦,2
安吉,2
平种,1
才能,55
好友,1
与,187
天桥,3
眼睁睁,2
关门声,1
非正常,1
同住,2
恳请,1
好大,5
为求,1
变样,1
378,1
good,2
规矩,1
突然,22
真烦,2
果断,1
一大半,2
因故,1
像是,23
早点,8
跟锦地,2
贵州,1
赶不上,4
不靠,5
下雪,3
下雨,8
奇妙,2
海灘,1
拉肚子,6
语气,7
雪亮,1
亏死,2
收费,125
最可气,8
总府,3
居民,4
加,42
冰箱,18
香港,25
诸位,1
Ｉ,2
盡人意,2
路线,2
北方,7
桌子,28
45153,1
干活,3
国家旅游局,5
部分,28
做爱,3
旺角,1
这时,17
施工单位,2
晃,1
没换,5
多分钟,4
会选,1
脚上,1
欠,22
调节,6
续住,3
侣,1
爬进,2
城,7
学习,2
摆平,3
协,1
迎宾馆,3
宝华,1
多长时间,3
狠,2
北戴河,1
幾點,1
那种,27
恐布,2
选中,2
陌生,1
四川话,1
五层,1
虹桥店,2
侥幸,1
下面,29
争,3
铁架子,1
放在,30
到馆,1
斩得,1
哪知,3
帮,71
那破,1
安全措施,1
具体来说,1
同一,3
对预,1
就象,4
开裂,2
无窗,3
冷,63
连张,1
不朝街,1
锺,1
礼,1
民族,2
古诗词,2
强硬,3
暗旧,1
B,13
同一天,1
抗着,3
很近,24
疑点,1
停过,1
我管,1
子,10
团,2
五分,2
機有,1
耐看,1
如非,1
不难,1
跟,158
有点,109
查看,14
取票,1
不胜其烦,1
哪根香,1
女同事,2
沒有,4
剃须,2
压抑,8
个体户,2
展览,2
穿过,3
夫人,2
变价,1
违章建筑,2
散漫,1
额外,1
盘旋,1
走进,12
换个,4
纯净,2
热气,2
时说,12
走过,2
掉下来,4
好意思,2
多块,2
托儿,1
没房,8
浓厚,3
用户名,2
随手,5
收发,1
大感,1
塑胶,2
同事,63
宁可,9
热水,92
风筝,3
看法,1
状,1
急忙,1
佣金,2
鸡窝,1
色彩,1
洗脸,6
尝试,10
金泰,1
权,1
极冷,4
这一来,1
问要,3
没扫,2
受到,14
去不去,1
里,345
周遍,1
同价,1
加水,3
送错,2
不阻,1
QQ,2
苑,2
展销会,1
保险柜,1
上空,2
同仁,1
机器人,1
酒店设施,46
蛮,9
哪里,30
有的是,1
配件,6
洗腳,1
埸,1
铺,13
高尔夫,2
再来,10
一一,1
一下,147
麻烦事,2
入口,6
身体,1
周末,9
六十元,4
２,22
个门,1
暗,12
设计,25
7.8,1
真的,121
吸烟区,1
海边,10
一丝,4
不采,2
三人,1
牛奶,14
级,10
房一厅,3
一个,655
排队,10
谅解,3
煙民,2
一串,4
目睹,2
用光,1
隔出来,2
其他,161
手机号码,1
樓層,2
视频点播,2
早餐券,18
十人,1
旁,9
赔不赔,2
拿掉,2
浓味,1
洗澡盆,1
最先,1
莫太住,1
惊醒,5
排除,3
水能,2
晕糊糊,1
泥,1
蹦迪,1
声誉,5
保,1
安分,1
想下,2
laptop,1
若有,2
叫车,13
赔不起,2
开票,2
其事,2
再有,5
放不下,3
横流,1
新街口,6
系,2
418,5
放假,2
十一,6
卫生条件,13
抄,1
万,1
女经理,2
一事,3
个子,1
不划算,6
美容,1
阶段,1
没收,3
抱歉,25
一些,50
标双,1
摔跤,1
没放,2
状态,4
不配,3
十个,5
极热,2
桔子,1
做些,1
退钱,1
部后,1
一人,5
很矮,1
上素,1
豪顶,1
没敢,9
见过,10
东海,2
没法用,1
其中,31
想法,2
天滩,2
忒,4
星等,2
鲜明,2
其为,2
穿衣,1
雷梦得,1
贵宾,13
连声,1
拨打,19
制定,1
宽大,1
十一点,5
一件,12
诧异,1
一点钟,1
就让,14
能住,1
com,21
热死,2
一份,28
只值,4
地理环境,2
这才,5
租给,2
自主,2
进不去,1
多准,1
色调,3
保存,3
還要,3
柔软,1
中武岳,1
取缔,1
床上,35
时起,1
一会,33
公营,2
特贵,2
The,3
数码相机,1
下车时,3
名曰,1
鼻子,1
回房,6
面貌,3
亲身经历,2
印痕,1
本,48
这批,1
下酒,2
点不清,2
出租车,79
轮流,1
叩,1
麽,5
＼,1
诱惑,2
怎么,159
军大衣,2
场景,1
抑制,2
为此,10
身上,14
东东,7
設有,1
一住,4
一位,45
孔,1
色如,1
严整,1
签订,4
挡板,1
我,2986
游览,2
连好,2
帐单,12
经过,34
店主,1
灭蟑螂,2
工商银行,1
走,134
这房,1
点缀,1
包涵,1
身为,2
回扣,4
已住,2
have,2
美食街,2
从来,33
长此以往,1
多元,10
信封,1
保密,2
星程,2
至于,9
在续,1
问,232
量足,1
大片,4
乱石堆,1
踏实,2
凑,1
大夫,2
届时,1
不過,3
卻,2
杨小姐,1
其余,7
身份,7
新旧,1
洛阳,1
放出,1
帐号,2
重物,1
刀叉,1
目的,1
5star,2
三分之一,3
至今,13
盘子,10
on,2
保安,33
印记,2
不送,1
竹筏,2
不适,7
1601,1
估摸,1
空开,2
北海,4
寢具,1
放净,1
纸篓,1
the,15
及大,2
推荐,133
不通,10
未能,3
开一开,1
路程,6
正确,3
漆,3
自始至终,2
严格管理,1
开点车,1
馬,2
等于,4
京伦,1
婚礼,2
标兵,2
城里,1
强横,1
罪名,2
预订单,3
被罩,4
太,326
天气,18
偏老,1
辱,1
芹菜,2
宾馆,468
没查,2
塑料纸,1
天门山,2
电脑,57
没话说,2
不详,1
美好,9
美女,3
产物,1
一大块,1
苍蝇,8
物价局,1
多加,5
麦当劳,1
中国电信,4
提不上,2
艾美,4
night,1
打是,1
鱼,4
床边,2
门脸,1
夏天,1
连锁店,2
渔家,1
天河,4
笔记本,8
没上,1
贵姓,1
标准,159
举措,1
难以想象,4
元店,2
个面,1
网民,1
和标,1
很成,1
没有,1402
/,129
大峡谷,2
液,1
手拿着,2
看上去,16
车上,5
园区,3
紧得,2
有生,1
超硬,1
乌烟瘴气,1
上网,116
血渍,3
就要,25
南平市,1
天津市,1
周日,1
更多地,1
血迹斑斑,1
决不会,3
渡过,1
months,2
只发,1
赞成,1
登记手续,1
山景,6
消灭,2
奇差,5
CDMA,2
多到,2
人民币,5
拉错,1
首层,2
皇城根,1
双面,1
出站口,2
预授,2
力气,3
尚,1
鞋,3
之后,77
太短,2
神经质,2
软硬件,2
卖得,1
奇小,5
游记,1
浴帘比,2
天津,17
无线,2
推广,3
仅限于,1
咖啡,12
汉人,2
交通工具,1
带,64
哪得成,1
武定,2
轰隆隆,1
前段时间,1
安全,28
指正,2
喷,6
附件,4
回,50
电话费,3
瘋,1
Ｔ,3
跑味,1
凭证,2
早到,1
语言表达,1
三塔,2
绑,1
奔,1
骗子,2
进,65
词典,1
手续费,12
噩梦,5
１,23
沒熱水,1
买不到,1
承受,1
逍夏,1
点后,5
是不是,37
业务,7
這里給,2
破破烂烂,2
跟不上,1
翻,6
用切,2
摄象机,2
外线,1
文字,2
者,5
有問,1
多半,2
風聲,2
溫泉,1
方面,54
开窗,20
监控,11
五天,2
只加,2
十五元,1
冤,2
问路,3
车会,1
忘带,2
报销,7
儿子,5
问加床,1
实惠,6
承包,6
為,6
尽,5
没星,1
说此,2
无异,1
晕死,4
哪间,1
第三天,16
偏远,4
奎去,1
打热,1
伤害,2
有理,2
怎奈,1
用力,2
心软,2
有长,1
standard,2
平米,4
},5
报警器,2
拉门,1
不可抗力,2
昨天,9
与非,1
军人,3
設施,3
曾,5
满洲里,4
车位,3
透露,1
门边,1
洗发,3
看来,17
海洋,2
严格,7
连同,1
齊齊,2
韭菜,1
女性朋友,2
会,263
绿洲,2
厚道,3
一概而论,2
诬陷,2
登记表,1
通知,29
云南旅游,1
冲凉,5
当下,1
瞎伙,1
赢得,1
明白事理,2
花园式,4
方飞,1
侮辱,1
服務,10
赶回,1
胡,1
服务,839
逮住,2
我点,1
不帮人,1
阐明,2
喷头,5
马赛克,2
几间,2
混扰,1
两者,1
色情,2
江阴,3
家里,7
蛮差,1
抬起,4
依旧,3
天才,3
技术人员,8
个馆,1
出众,1
事件,13
标志,10
老老,2
表达,3
处事,2
狗屁,2
打出,6
迎面,2
早已,1
污迹,12
吓,7
阳路,1
我火,1
流通,1
排骨,2
时能,3
大葱,2
价要,1
三百,2
三月份,1
录像,1
踩得,1
涮,2
好多年,1
连在一起,3
名字,25
黄黄的,2
阁下,11
阿,15
一拖再拖,1
太破,1
迟缓,1
表述,1
丽泽苑,2
黄莲素片,2
朝过,1
外包装,2
门转,1
没多花,1
有利于,2
多少,27
安庆,4
点有,1
要加,9
讲究,2
真空,2
想想,24
奢华,4
最差,108
待客,1
索帐,1
犯人,1
扫兴,2
夹杂着,1
南昆山,1
少不了,2
为本,2
不锈钢管,2
extra,1
最小,8
摆好,1
工程施工,2
最少,5
全且,1
寄存,6
空号,2
肉片,1
关着,1
全然不知,2
保齡球,4
两遍,3
特脏,3
夜床,1
银牌,1
侯,1
一大堆,2
拆,4
为期,1
叮,2
冻,7
两道,2
闻名,1
味道不好,2
通风口,1
男客,1
昆山,3
早就,22
惨不忍睹,6
俱乐部,2
宁夏,3
头发,12
一切都是,1
飞机场,2
天换,2
三人房,3
脏脏,2
蛮横,7
往下掉,1
少得,6
当作,2
本人,72
大床,130
三间房,2
瑞雪,1
关门,12
之後就,1
永远,17
主业,1
熏得,1
监测,1
讨要,1
无烟,27
入库,1
插卡,1
专题会议,1
虚有,1
避孕套,3
缝隙,2
海航,1
元内,1
要发,1
时至,1
冷掉,1
有所,3
功率,2
进店,1
安心,1
要强,1
佰富,1
不闻不问,1
登堂入室,1
有空,1
邦,4
手袋,1
和服,2
李鹏,2
取现,1
客运,2
关键,8
进步,3
应有,8
淮安,1
5.1,3
迷路,2
要压,1
杜绝,8
普标,2
股味,2
美国,9
春,1
压根,3
天黑,1
神奇,1
典型,14
出于,7
一百多,1
环保部门,1
精神,2
兑奖,1
同行,12
点去,2
设试,1
索引,19
大眼袋,1
所值,1
阿都,1
主意,1
叼,3
链,1
结论,3
负责人,4
提起,1
有租,2
首先,74
男士,2
衣物,1
．,90
暧昧,1
独此一家,2
林,2
Feb,2
皊,1
点时,1
包括,22
吃剩,2
最後還,1
更让人,8
销售,9
不著,1
扭伤脚,1
不止一次,1
集团,13
2400,2
敢喝,3
控制台,1
元到,1
元刷,2
作用,3
坚决,18
方骨,1
开着,11
机票,2
要不是,17
种,4
街上,6
南北,1
酒,7
痕,2
有福,1
half,1
not,6
特色,16
打給,1
拍死,3
没人修,1
庆幸,1
自然风景,1
权衡,1
評論,1
乘车,1
正理,1
泡菜,1
需不需要,2
上班,6
提供方便,1
试一下,1
不远处,1
